U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.6,3.5,0.0,0.1,0.30099684206074845,0.2866553514520985,0.11437942415160028
0.3,3.5,0.0,0.1,0.24004333888890897,0.23621744005580422,0.10410105625873678
0.9,4.0,0.0,0.1,0.3513093344943969,0.3322485193608262,0.15859264625272934
0.6,4.0,0.0,0.1,0.2813150674022841,0.2699364281583351,0.12269167577083952
0.3,4.0,0.0,0.1,0.20594664584446792,0.2052780332914058,0.09017168182223641
0.9,4.5,0.0,0.1,0.3277964861128336,0.304925329736014,0.1514176422373665
0.6,4.5,0.0,0.1,0.2608153242043037,0.2661339888475377,0.11496697822183918
0.3,4.5,0.0,0.1,0.2043254816940301,0.20844294361773125,0.09084151257274432
0.9,5.0,0.0,0.1,0.3595324402301089,0.34232003890783663,0.15710678110361145
0.6,5.0,0.0,0.1,0.2504717531259808,0.23305242283679123,0.1090353434268055
0.3,5.0,0.0,0.1,0.19547582449870782,0.19585405590975524,0.08937580198659169
0.9,0.0,0.25,0.1,-0.0013089018566415456,0.000532806751037111,0.024262952907653085
0.6,0.0,0.25,0.1,-0.0016608794876156888,0.0005330177373206287,0.027904311119917324
0.3,0.0,0.25,0.1,-0.0033497696219281104,-0.00488962933531028,0.02608231247658992
0.9,0.5,0.25,0.1,0.47295233181750057,0.4729713378707907,0.173241487052556
0.6,0.5,0.25,0.1,0.4100724258957084,0.41104878266397593,0.15215448652227875
0.3,0.5,0.25,0.1,0.37848991620967004,0.3888341474761883,0.13696098126490966
0.9,1.0,0.25,0.1,0.4756411374113105,0.46256335215571487,0.18766221278220271
0.6,1.0,0.25,0.1,0.3821215624004083,0.3784490261087177,0.13778235381587645
0.3,1.0,0.25,0.1,0.3644265604047307,0.3662927016804912,0.13247976767724737
0.9,1.5,0.25,0.1,0.44778172089295987,0.4592316737396631,0.1785473595403196
0.6,1.5,0.25,0.1,0.3826031100477932,0.37918316953422937,0.1404854300273284
0.3,1.5,0.25,0.1,0.34950465866929986,0.3655532901229245,0.1224134109704841
0.9,2.0,0.25,0.1,0.4091840528180902,0.39613488697569543,0.16415037188359619
0.6,2.0,0.25,0.1,0.37306344038334915,0.36145361913231894,0.13494908735688227
0.3,2.0,0.25,0.1,0.2797338677996748,0.27181716536824985,0.11835866430104415
0.9,2.5,0.25,0.1,0.4167980741144867,0.4273484484592751,0.17634846861917122
0.6,2.5,0.25,0.1,0.34198553804120224,0.3190804046458794,0.13159119315357198
0.3,2.5,0.25,0.1,0.2812478845879192,0.27774476787582825,0.11296343658996645
0.9,3.0,0.25,0.1,0.4068525131227216,0.41128431445286695,0.16629916088266264
0.6,3.0,0.25,0.1,0.32614072241145453,0.3439735110023393,0.14013783984659695
0.3,3.0,0.25,0.1,0.2704185597035674,0.25761451265421575,0.10288049176019447
0.9,3.5,0.25,0.1,0.3705241492762824,0.3785911288947915,0.16456684915683226
0.6,3.5,0.25,0.1,0.2912454988370964,0.27875927704529974,0.11803120342807087
0.3,3.5,0.25,0.1,0.24045830747139363,0.24347649359784007,0.09794939880315728
0.9,4.0,0.25,0.1,0.357152763683002,0.34201063361756123,0.1568591666903808
0.6,4.0,0.25,0.1,0.2711643584080018,0.25458659573174947,0.12090242344312276
0.3,4.0,0.25,0.1,0.21308605762424368,0.2029201405805255,0.09830540641956367
0.9,4.5,0.25,0.1,0.30804873798256033,0.2941998511730596,0.15199531009009742
0.6,4.5,0.25,0.1,0.2625672468783705,0.2420607994980455,0.11450027962270276
0.3,4.5,0.25,0.1,0.19648055208133416,0.19652475756326418,0.09664024022411588
0.9,5.0,0.25,0.1,0.34646381231587425,0.335665158767123,0.1429342363289256
0.6,5.0,0.25,0.1,0.24914585638420353,0.25366295330659144,0.10433260961100835
0.3,5.0,0.25,0.1,0.19017942037075927,0.18591260264987577,0.08698970937367186
0.9,0.0,0.5,0.1,0.00043602500666957075,0.0009862330925550023,0.026736576894561728
0.6,0.0,0.5,0.1,0.0021247208966652747,0.0028301316118389515,0.023648088252680256
0.3,0.0,0.5,0.1,-0.0011182485495696407,-0.004825739902841887,0.02469383549912819
0.9,0.5,0.5,0.1,0.4831728410471739,0.5019080002056077,0.17545365040227034
0.6,0.5,0.5,0.1,0.4199573718494483,0.42076366479199656,0.1343292330361457
0.3,0.5,0.5,0.1,0.36744228609103396,0.36900870969086674,0.12011910585759143
0.9,1.0,0.5,0.1,0.46790271823350343,0.4552938111665386,0.1718552720360469
0.6,1.0,0.5,0.1,0.42393686580489076,0.4401427673209204,0.13553605930356052
0.3,1.0,0.5,0.1,0.3600078071590647,0.36596767761134646,0.12119005747477031
0.9,1.5,0.5,0.1,0.46396146359154317,0.4745965947716789,0.18477182496176672
